Date,Open,High,Low,Close,Volume,Adj Close
2015-11-02,3434.50,3434.50,3434.50,3434.50,000,3434.50
2015-10-30,3418.23,3418.23,3418.23,3418.23,000,3418.23
2015-10-29,3413.39,3413.39,3413.39,3413.39,000,3413.39
2015-10-28,3421.09,3421.09,3421.09,3421.09,000,3421.09
2015-10-27,3381.01,3381.01,3381.01,3381.01,000,3381.01
2015-10-26,3414.60,3414.60,3414.60,3414.60,000,3414.60
2015-10-23,3425.81,3425.81,3425.81,3425.81,000,3425.81
2015-10-22,3353.11,3353.11,3353.11,3353.11,000,3353.11
2015-10-21,3272.23,3272.23,3272.23,3272.23,000,3272.23
2015-10-20,3255.72,3255.72,3255.72,3255.72,000,3255.72
2015-10-19,3272.04,3272.04,3272.04,3272.04,000,3272.04
2015-10-15,3238.81,3238.81,3238.81,3238.81,000,3238.81
2015-10-14,3191.57,3191.57,3191.57,3191.57,000,3191.57
2015-10-13,3221.28,3221.28,3221.28,3221.28,000,3221.28
2015-10-09,3250.31,3250.31,3250.31,3250.31,000,3250.31
2015-10-08,3224.96,3224.96,3224.96,3224.96,000,3224.96
2015-10-05,3190.39,3190.39,3190.39,3190.39,000,3190.39
2015-09-30,3100.67,3100.67,3100.67,3100.67,000,3100.67
2015-09-29,3029.86,3029.86,3029.86,3029.86,000,3029.86
2015-09-28,3039.44,3039.44,3039.44,3039.44,000,3039.44
2015-09-25,3113.16,3113.16,3113.16,3113.16,000,3113.16
2015-09-24,3019.34,3019.34,3019.34,3019.34,000,3019.34
2015-09-23,3079.99,3079.99,3079.99,3079.99,000,3079.99
2015-09-22,3076.05,3076.05,3076.05,3076.05,000,3076.05
2015-09-21,3184.72,3184.72,3184.72,3184.72,000,3184.72
2015-09-14,3175.62,3175.62,3175.62,3175.62,000,3175.62
2015-09-11,3187.94,3187.94,3187.94,3187.94,000,3187.94
2015-09-10,3221.14,3221.14,3221.14,3221.14,000,3221.14
2015-09-09,3269.98,3269.98,3269.98,3269.98,000,3269.98
2015-09-07,3197.97,3197.97,3197.97,3197.97,000,3197.97
2015-09-04,3180.25,3180.25,3180.25,3180.25,000,3180.25
2015-09-03,3270.09,3270.09,3270.09,3270.09,000,3270.09
2015-09-02,3198.86,3198.86,3198.86,3198.86,000,3198.86
2015-09-01,3188.73,3188.73,3188.73,3188.73,000,3188.73
2015-08-31,3269.63,3269.63,3269.63,3269.63,000,3269.63
2015-08-28,3286.59,3286.59,3286.59,3286.59,000,3286.59
2015-08-27,3280.78,3280.78,3280.78,3280.78,000,3280.78
2015-08-26,3170.73,3170.73,3170.73,3170.73,000,3170.73
2015-08-25,3218.01,3218.01,3218.01,3218.01,000,3218.01
2015-08-24,3073.39,3073.39,3073.39,3073.39,000,3073.39
2015-08-21,3247.26,3247.26,3247.26,3247.26,000,3247.26
2015-08-20,3353.48,3353.48,3353.48,3353.48,000,3353.48
2015-08-19,3429.84,3429.84,3429.84,3429.84,000,3429.84
